                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2531,                 1.5678,                0.68687,                0.89598,                0.92006,                0.84091,                0.91067,                0.58766,                0.89725,                 0.8174,                0.88367,                0.44841,                 1.2943,                  1.635,                0.73031,                0.89442,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.2472,                 1.5238,                0.68467,                0.89701,                0.91492,                0.83562,                0.91984,                0.57674,                0.88726,                 0.8105,                0.88868,                0.41178,                 1.3627,                 1.6053,                 0.7049,                 0.9045,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.2239,                 1.5276,                0.67216,                0.89263,                 0.8938,                0.84546,                0.91537,                0.58325,                 0.9016,                0.80137,                0.88025,                0.42638,                 1.2883,                  1.638,                0.69247,                0.89616,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.2452,                 1.5432,                 0.6715,                0.89052,                0.92477,                0.84195,                0.93134,                0.58687,                0.90472,                0.82383,                0.89436,                0.41834,                   1.29,                 1.6088,                 0.6695,                0.89263,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.2277,                 1.5055,                0.65697,                 0.8871,                0.91532,                0.83902,                0.90848,                0.59034,                0.91532,                0.83902,                0.89823,                0.45244,                  1.264,                 1.6455,                0.68097,                0.89101,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.2129,                 1.5247,                0.65323,                0.88154,                0.90433,                0.86322,                0.91506,                0.58106,                0.89714,                0.84932,                0.89622,                0.43663,                 1.3018,                 1.6931,                0.68046,                0.89525,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.2108,                 1.5036,                0.65471,                0.88901,                0.90586,                0.83482,                0.91763,                0.58216,                0.90036,                0.78392,                0.87071,                0.40637,                 1.3172,                 1.6442,                0.69686,                0.90048,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.2375,                 1.5084,                0.65954,                0.88642,                0.90218,                0.84932,                0.90974,                0.59259,                0.89964,                0.81507,                0.88342,                0.44744,                 1.2622,                 1.6252,                 0.7007,                0.88763,              0.0017129,              0.0017129,              0.0017129
                     32,                  1.226,                 1.4984,                0.65753,                0.88831,                0.92005,                0.80365,                0.89556,                0.56819,                0.90115,                0.78767,                0.86472,                0.42088,                 1.3231,                 1.5956,                0.72877,                0.90216,               0.001703,               0.001703,               0.001703
                     33,                 1.2067,                 1.5156,                0.63715,                0.88322,                0.89767,                0.84122,                0.91605,                0.58915,                0.90824,                0.81735,                0.90072,                0.44514,                 1.2606,                 1.6332,                0.66066,                0.89066,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.2138,                 1.4908,                0.63836,                0.88936,                0.94175,                0.81963,                0.92447,                0.59593,                 0.9261,                0.80108,                0.88657,                0.44848,                 1.2504,                 1.6195,                0.66379,                0.89257,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.1958,                  1.465,                0.63962,                0.87901,                0.90728,                0.87215,                0.93288,                0.60057,                0.89303,                0.85845,                0.91965,                0.46669,                 1.2994,                 1.5428,                0.65304,                0.89385,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.2009,                 1.4747,                0.63346,                 0.8792,                0.90405,                0.88202,                 0.9191,                 0.5901,                0.89541,                   0.86,                0.90169,                0.43394,                 1.2559,                 1.6311,                 0.7258,                0.88879,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.2119,                 1.4953,                0.63545,                 0.8761,                0.91445,                0.82877,                0.91162,                0.58795,                0.91336,                0.79428,                0.88472,                0.44306,                 1.2873,                 1.6138,                0.69673,                0.89597,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1932,                 1.4967,                0.63139,                0.88674,                0.90706,                0.81963,                0.90575,                0.59867,                 0.9391,                0.77454,                 0.8849,                0.44079,                 1.2792,                 1.5657,                0.66842,                 0.9038,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.1978,                 1.4859,                0.63427,                 0.8811,                0.94799,                0.81507,                 0.9099,                0.59167,                0.92715,                0.81355,                0.89261,                0.45177,                 1.2612,                 1.5995,                0.65255,                0.89548,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.1869,                 1.4804,                0.62199,                 0.8763,                0.93438,                0.84524,                0.92827,                 0.5842,                0.92454,                0.82648,                0.90423,                0.42171,                 1.2708,                 1.6225,                0.67058,                0.89547,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.1806,                 1.4592,                 0.6193,                0.87876,                0.90982,                0.85388,                0.92608,                0.58805,                0.91045,                0.79224,                0.87872,                0.41965,                 1.2702,                 1.6437,                0.67306,                0.89081,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.1825,                 1.4171,                0.62749,                0.88273,                0.90416,                0.88307,                0.91878,                0.59393,                0.91579,                0.84422,                0.89809,                0.44082,                 1.2431,                 1.5924,                0.63039,                0.88934,               0.001604,               0.001604,               0.001604
                     43,                 1.1636,                 1.4366,                 0.5993,                 0.8736,                0.92246,                0.82192,                0.91269,                0.59714,                0.92429,                0.81279,                0.89087,                0.44186,                 1.2684,                 1.6385,                0.68259,                0.88448,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.1746,                 1.4702,                0.61676,                0.87572,                0.87077,                 0.8653,                 0.9234,                0.60956,                0.85973,                0.85388,                0.90382,                0.45706,                 1.2422,                 1.6536,                0.64278,                 0.8907,              0.0015842,              0.0015842,              0.0015842
                     45,                  1.182,                 1.4512,                0.61298,                0.87431,                0.93516,                0.85612,                0.92788,                 0.5945,                0.90529,                0.82877,                0.88955,                0.39652,                 1.2841,                  1.601,                0.63301,                0.88981,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.1678,                 1.4441,                0.59815,                0.87385,                0.87935,                0.87215,                 0.9219,                0.59715,                0.85463,                0.84475,                 0.8872,                0.41287,                 1.2768,                 1.6382,                0.65271,                0.89378,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.1406,                 1.4117,                0.59276,                0.87138,                0.91087,                0.86758,                0.93939,                0.61164,                0.89002,                0.84703,                 0.9055,                0.44586,                 1.2375,                 1.5549,                0.62237,                0.88626,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.1661,                 1.4403,                0.59879,                0.87539,                0.91014,                0.85616,                0.93098,                0.60817,                0.89521,                0.83866,                0.89902,                0.44068,                 1.2529,                 1.6427,                0.62935,                0.88618,              0.0015446,              0.0015446,              0.0015446
                     49,                  1.164,                 1.4325,                0.60623,                0.87348,                0.92362,                0.88348,                0.93137,                0.60051,                0.89589,                0.84482,                0.90481,                0.44166,                 1.2648,                  1.624,                0.63234,                   0.89,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.1526,                 1.4359,                0.58819,                0.87186,                0.90586,                0.87215,                0.92171,                0.59692,                0.89969,                0.82648,                0.88815,                0.42857,                 1.2473,                 1.6963,                0.64195,                 0.8865,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.1496,                 1.4096,                0.59137,                0.87239,                0.91127,                0.89104,                0.94136,                0.61041,                0.90155,                0.85717,                0.91146,                0.46265,                 1.2804,                 1.6399,                0.63897,                0.89364,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.1553,                  1.443,                 0.5901,                0.87473,                0.92026,                0.89591,                0.92992,                0.60443,                 0.9054,                0.87407,                0.90091,                0.43087,                 1.2623,                 1.6403,                0.64535,                0.89286,               0.001505,               0.001505,               0.001505
                     53,                 1.1439,                  1.394,                0.58223,                0.87468,                0.91998,                0.89954,                0.93797,                0.60972,                0.89474,                0.87215,                 0.9085,                 0.4574,                 1.2232,                 1.5406,                 0.6082,                0.88807,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.1444,                 1.3957,                 0.5875,                 0.8674,                0.92789,                0.88128,                0.93195,                0.59902,                0.90231,                0.85616,                 0.8934,                0.43702,                 1.2331,                  1.585,                0.60399,                0.88665,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.1421,                 1.4068,                0.58863,                0.87026,                0.91514,                0.88584,                0.93876,                0.61156,                0.89963,                0.87443,                0.91837,                0.45973,                  1.221,                 1.5437,                0.60653,                 0.8859,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.1278,                 1.4074,                0.57835,                0.86299,                0.92106,                0.87913,                0.93603,                0.60782,                0.89508,                 0.8516,                0.90354,                0.44232,                 1.2733,                 1.5572,                0.62059,                0.89301,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.1365,                 1.4052,                0.58138,                0.86838,                0.92859,                0.89068,                0.94951,                0.61046,                0.91289,                 0.8853,                0.92525,                0.43961,                 1.2587,                 1.6734,                0.61632,                0.88807,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.1349,                 1.4153,                0.58475,                0.86387,                0.91433,                0.90161,                0.93941,                0.61408,                0.89761,                0.88063,                0.91959,                0.47189,                 1.2421,                 1.5858,                0.61568,                0.88534,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.1227,                 1.3966,                0.56892,                0.87094,                0.92804,                  0.879,                0.92777,                0.60046,                0.89739,                0.84018,                0.88585,                0.42132,                  1.248,                 1.6099,                0.62752,                0.89073,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.1367,                  1.394,                0.57324,                0.86772,                0.90979,                0.89798,                0.94026,                0.61318,                0.87284,                0.86192,                0.90223,                0.44002,                  1.227,                 1.6158,                0.61875,                0.88419,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1154,                 1.3923,                0.56824,                 0.8682,                0.92023,                0.90639,                0.94263,                0.61077,                0.88167,                0.87215,                0.90893,                0.45091,                 1.2381,                 1.6512,                0.59602,                0.88706,              0.0014159,              0.0014159,              0.0014159
                     62,                  1.132,                 1.3877,                0.56491,                0.87043,                0.93543,                0.89308,                0.95294,                0.63957,                0.91927,                0.86073,                0.92689,                0.46817,                  1.202,                 1.5852,                0.58366,                0.88294,               0.001406,               0.001406,               0.001406
                     63,                 1.1283,                 1.3683,                0.56159,                0.86641,                0.91636,                0.89498,                0.93886,                0.60756,                0.88966,                0.86517,                0.90149,                0.45172,                 1.2375,                 1.5883,                0.61889,                0.88866,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.1304,                 1.3733,                0.57783,                0.86832,                0.92291,                0.90183,                0.94589,                0.61254,                0.90525,                0.87252,                0.91268,                0.44668,                 1.2552,                 1.5436,                0.61634,                0.89045,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.1241,                 1.4005,                0.56456,                0.86328,                0.92122,                0.90639,                0.94374,                0.62109,                0.91023,                0.87967,                0.92233,                0.47035,                 1.2113,                  1.614,                0.59936,                0.88296,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.1032,                 1.3519,                0.55332,                0.86055,                0.92357,                0.89041,                0.94072,                0.60751,                 0.8906,                0.85499,                0.90526,                 0.4496,                 1.2583,                 1.6026,                 0.6095,                0.88559,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.1014,                 1.3667,                0.55821,                0.86424,                0.91698,                 0.8574,                0.93436,                0.62434,                0.91387,                0.82367,                0.90383,                0.45724,                 1.2182,                 1.5943,                0.61435,                0.88036,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.1176,                 1.3635,                0.55988,                0.86185,                0.91161,                0.91835,                0.95001,                 0.6303,                0.88255,                0.89211,                0.91521,                0.45603,                 1.2131,                 1.5913,                0.57247,                0.87902,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.0884,                 1.3781,                0.55086,                0.85515,                 0.9234,                 0.9083,                0.94525,                0.61563,                0.90198,                0.86133,                0.89618,                0.43189,                 1.2305,                 1.6315,                0.59222,                0.88247,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.0932,                 1.3513,                0.55549,                0.85831,                0.91429,                0.90111,                0.94536,                0.62048,                0.93206,                0.84703,                0.91903,                0.45883,                 1.2253,                 1.5724,                0.58556,                0.88525,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.1039,                 1.3511,                0.54983,                0.86006,                0.91447,                0.90639,                0.93689,                0.62684,                0.89381,                0.88398,                0.91744,                0.46056,                 1.2168,                 1.5781,                0.59654,                0.88066,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.0957,                 1.3517,                0.55021,                0.85902,                0.93399,                 0.9045,                0.94416,                0.62834,                0.90883,                0.86487,                0.91273,                0.47169,                 1.1938,                 1.5872,                0.58575,                 0.8821,               0.001307,               0.001307,               0.001307
                     73,                 1.0912,                 1.3585,                0.54847,                0.86304,                0.93597,                0.89726,                0.94442,                 0.6256,                0.90814,                0.86986,                0.91232,                0.47495,                 1.2067,                 1.6119,                0.59008,                0.87978,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.0992,                 1.3452,                0.54494,                0.86049,                0.94351,                0.89726,                0.94466,                 0.6274,                 0.9302,                0.88231,                0.93158,                0.47537,                 1.2127,                  1.588,                0.57468,                0.88053,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.0731,                 1.3268,                0.54006,                0.86063,                0.92813,                  0.914,                0.94295,                0.63285,                0.91849,                 0.8653,                0.91833,                 0.4746,                 1.2115,                 1.6056,                0.58109,                0.88532,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.0788,                 1.3302,                0.54659,                0.85617,                0.90818,                0.92009,                0.94187,                0.62037,                0.89302,                0.89577,                0.92342,                0.44941,                 1.2224,                 1.6105,                 0.5799,                0.88177,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.0883,                  1.341,                 0.5407,                0.85547,                0.94011,                0.89594,                0.94537,                0.62524,                0.91863,                0.87633,                0.92322,                0.44661,                 1.2399,                  1.601,                0.59062,                0.88112,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.0912,                 1.3717,                0.54521,                0.85908,                0.91979,                0.91635,                0.94761,                0.61974,                0.89458,                0.89123,                0.92106,                0.46772,                 1.2249,                 1.6469,                0.57978,                0.88264,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0653,                 1.3212,                0.53557,                  0.861,                0.91135,                0.91534,                0.94272,                0.61494,                0.88967,                0.89498,                0.92607,                0.46648,                 1.2369,                 1.5682,                0.58468,                0.88663,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.0645,                 1.3271,                0.52701,                0.85155,                0.94537,                0.90411,                0.95537,                0.63265,                0.91724,                0.87671,                0.92542,                0.47449,                 1.2056,                 1.5798,                0.56155,                 0.8793,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0671,                 1.3176,                0.52345,                0.85489,                0.92207,                0.91324,                0.95044,                0.62719,                0.90827,                0.88169,                  0.923,                0.46413,                 1.2077,                 1.5376,                0.58033,                0.88539,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.0856,                 1.3495,                0.53818,                0.85798,                0.90507,                0.92009,                0.94098,                0.61799,                0.89645,                0.87671,                 0.9118,                0.44116,                 1.2429,                 1.6249,                0.58512,                0.88506,               0.001208,               0.001208,               0.001208
                     83,                 1.0595,                 1.2995,                0.52427,                 0.8539,                0.94414,                0.88756,                0.94763,                0.62662,                0.89419,                0.90686,                0.93163,                0.47183,                 1.2112,                 1.5613,                0.59126,                0.87849,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.0609,                 1.2764,                0.51868,                0.85424,                0.93395,                0.89041,                0.94679,                0.62196,                0.92485,                0.87097,                0.93211,                0.47434,                 1.2275,                 1.5877,                0.56793,                0.88888,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.0693,                 1.3043,                0.53195,                0.85259,                0.92916,                0.89726,                0.95028,                0.62798,                0.91119,                0.87671,                0.92882,                0.47109,                 1.2085,                 1.5827,                0.57471,                0.88462,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.0671,                 1.3175,                0.52502,                 0.8509,                 0.9156,                0.91644,                 0.9429,                0.62294,                0.91036,                  0.879,                0.91588,                0.46176,                 1.2163,                 1.5857,                0.57699,                 0.8865,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.0393,                 1.2886,                0.52555,                0.85112,                0.91295,                 0.9338,                0.95214,                0.62893,                0.94327,                0.87318,                0.93386,                 0.4676,                 1.2126,                 1.5254,                0.56144,                0.88122,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.0655,                 1.3065,                0.52281,                0.85399,                0.93139,                0.93151,                0.95282,                0.63578,                0.90159,                0.89939,                0.92197,                0.46824,                 1.2049,                 1.5477,                0.58544,                 0.8773,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.0282,                 1.2902,                0.51229,                0.84757,                0.93598,                0.90127,                0.94834,                0.63429,                0.93041,                0.85475,                0.92081,                0.46534,                 1.2062,                 1.6374,                0.57171,                0.88061,              0.0011387,              0.0011387,              0.0011387
                     90,                   1.04,                 1.2723,                0.50982,                 0.8517,                0.94679,                0.89371,                0.94437,                0.63509,                0.94468,                0.85388,                0.91761,                0.47338,                 1.1991,                 1.5825,                0.57086,                0.87792,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.0444,                 1.3146,                0.51833,                0.85175,                0.92351,                0.90966,                0.94439,                0.62335,                0.89758,                0.88041,                0.91609,                0.46774,                 1.1928,                  1.562,                0.59018,                0.88159,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.0293,                 1.2745,                 0.5023,                0.84287,                0.92818,                0.91473,                0.94431,                0.62038,                0.91193,                0.89839,                0.92533,                0.45588,                 1.2211,                 1.5816,                 0.5808,                0.88194,               0.001109,               0.001109,               0.001109
                     93,                 1.0359,                 1.2895,                0.50786,                0.85162,                0.93522,                0.89726,                0.94702,                0.62426,                0.90892,                0.86583,                0.91453,                 0.4625,                 1.2188,                 1.6085,                0.57241,                0.88682,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0486,                  1.298,                 0.5139,                0.85147,                0.92793,                0.92237,                0.94871,                0.63024,                0.91705,                 0.8834,                0.92507,                0.47018,                   1.21,                 1.5636,                 0.5498,                 0.8825,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.0264,                 1.2665,                0.50771,                0.84719,                0.93928,                0.91324,                0.95186,                0.63546,                0.91815,                0.89269,                0.92745,                0.46928,                 1.2059,                 1.6021,                  0.567,                0.88289,              0.0010793,              0.0010793,              0.0010793
