                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9324,                0.62061,                0.92692,                0.84523,                0.92036,                0.95246,                0.71704,                0.94521,                0.58345,                0.93483,              0.0008317,              0.0008317,              0.0008317
                     37,                0.92765,                0.61094,                0.92163,                0.82382,                0.93742,                0.94713,                0.73273,                 0.9422,                0.61482,                 0.9291,             0.00082675,             0.00082675,             0.00082675
                     38,                0.92411,                0.61615,                0.92326,                0.86167,                0.91315,                0.95135,                0.73431,                0.96323,                0.64911,                0.92983,              0.0008218,              0.0008218,              0.0008218
                     39,                0.90616,                0.59217,                0.92373,                 0.8903,                0.86428,                0.94445,                0.73088,                0.94815,                0.61693,                0.93495,             0.00081685,             0.00081685,             0.00081685
                     40,                0.92334,                0.61426,                0.92429,                0.85536,                0.91501,                0.92847,                0.70876,                0.92658,                0.61407,                0.93229,              0.0008119,              0.0008119,              0.0008119
                     41,                0.90874,                0.59572,                0.92009,                0.84714,                0.94373,                0.94616,                0.74575,                0.88598,                0.57358,                0.91206,             0.00080695,             0.00080695,             0.00080695
                     42,                  0.903,                0.60035,                0.92038,                0.83362,                0.92899,                0.93873,                 0.7326,                0.92326,                0.59587,                0.91801,               0.000802,               0.000802,               0.000802
                     43,                0.90194,                 0.5919,                0.92014,                0.89029,                0.91477,                0.93795,                0.72772,                0.93416,                0.59448,                0.91738,             0.00079705,             0.00079705,             0.00079705
                     44,                0.88703,                0.57917,                0.91263,                0.89119,                0.89902,                0.95306,                0.74541,                0.90977,                  0.571,                0.91612,              0.0007921,              0.0007921,              0.0007921
                     45,                0.88904,                0.58536,                0.91461,                0.87484,                0.90276,                0.94353,                0.75165,                 0.9078,                0.56876,                 0.9212,             0.00078715,             0.00078715,             0.00078715
                     46,                0.88136,                0.57604,                0.91215,                0.85599,                0.90367,                0.94905,                0.75977,                0.88215,                0.57719,                0.90872,              0.0007822,              0.0007822,              0.0007822
                     47,                0.87999,                0.57583,                0.91033,                0.87111,                0.89681,                0.92819,                 0.7421,                0.89269,                0.56275,                0.90912,             0.00077725,             0.00077725,             0.00077725
                     48,                0.88208,                0.56933,                0.91415,                0.89252,                0.91654,                0.94939,                0.73845,                 0.9185,                0.55545,                0.92826,              0.0007723,              0.0007723,              0.0007723
                     49,                0.88444,                0.57689,                0.91086,                0.86472,                0.92067,                0.94622,                0.74183,                0.91154,                0.55132,                0.91679,             0.00076735,             0.00076735,             0.00076735
                     50,                 0.8666,                0.56545,                0.90715,                0.93762,                0.88481,                0.95526,                0.74938,                0.91564,                0.56352,                0.92349,              0.0007624,              0.0007624,              0.0007624
                     51,                0.87929,                0.56746,                0.90983,                0.91657,                0.91473,                0.95309,                0.73522,                0.90431,                0.56521,                0.91424,             0.00075745,             0.00075745,             0.00075745
                     52,                0.86022,                0.55532,                0.90135,                0.89145,                0.89739,                 0.9531,                0.74527,                0.89688,                0.55007,                0.91668,              0.0007525,              0.0007525,              0.0007525
                     53,                 0.8656,                0.55868,                0.90642,                0.89768,                0.90656,                0.95775,                0.74407,                 0.8846,                0.55229,                0.90403,             0.00074755,             0.00074755,             0.00074755
                     54,                0.85877,                0.55466,                0.90784,                0.86242,                0.93252,                 0.9638,                0.76299,                0.87766,                0.53258,                0.91331,              0.0007426,              0.0007426,              0.0007426
                     55,                0.84577,                0.53978,                 0.9016,                 0.9112,                0.90421,                0.95536,                0.75608,                0.89538,                0.54554,                0.90752,             0.00073765,             0.00073765,             0.00073765
                     56,                0.84172,                0.53794,                0.90049,                0.91348,                0.89343,                0.95151,                0.77025,                0.86148,                 0.5384,                0.90004,              0.0007327,              0.0007327,              0.0007327
