                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.21477,                0.19842,                0.18197,                0.87817,                0.99969,                      1,                  0.995,                0.99241,                0.99969,                      1,                  0.995,                  0.994,                0.17997,                0.12449,                0.15636,                0.64864,              0.0008615,              0.0008615,              0.0008615
                     26,                0.22738,                0.20711,                0.19243,                0.87944,                 0.9982,                0.99798,                  0.995,                0.99274,                 0.9982,                0.99798,                  0.995,                0.99274,                0.17377,                0.12911,                0.15245,                0.64215,               0.000812,               0.000812,               0.000812
                     27,                 0.2175,                0.20661,                0.18816,                0.87681,                0.99961,                      1,                  0.995,                0.99191,                0.99961,                      1,                  0.995,                0.99273,                0.14913,                0.13315,                0.16191,                 0.6445,              0.0007625,              0.0007625,              0.0007625
                     28,                0.20544,                 0.1911,                0.17415,                0.87282,                0.99981,                      1,                  0.995,                0.99488,                0.99981,                      1,                  0.995,                0.99409,                0.15736,                0.12104,                 0.1384,                 0.6386,               0.000713,               0.000713,               0.000713
                     29,                 0.2117,                0.20614,                0.17808,                0.87592,                      1,                      1,                  0.995,                0.99395,                      1,                      1,                  0.995,                0.99391,                0.14199,                0.12675,                0.12968,                0.63445,              0.0006635,              0.0006635,              0.0006635
                     30,                0.20703,                0.20063,                0.17461,                0.87256,                      1,                0.99986,                  0.995,                0.99284,                      1,                0.99986,                  0.995,                0.99479,                0.14115,                0.12515,                0.14745,                0.63127,               0.000614,               0.000614,               0.000614
                     31,                0.23799,                0.20397,                0.23347,                0.88397,                0.99783,                      1,                  0.995,                0.99099,                0.99783,                      1,                  0.995,                0.99406,                0.19449,                 0.1296,                0.20748,                0.64957,              0.0005645,              0.0005645,              0.0005645
                     32,                0.22295,                0.19815,                0.22122,                0.87093,                0.99744,                0.99641,                  0.995,                0.99231,                0.99744,                0.99641,                  0.995,                0.99364,                0.19985,                0.14283,                0.17066,                0.66788,               0.000515,               0.000515,               0.000515
                     33,                0.21506,                0.18995,                0.21298,                0.86797,                0.99984,                0.99461,                  0.995,                0.99386,                0.99984,                0.99461,                  0.995,                0.99333,                 0.1743,                0.12906,                0.18044,                0.64906,              0.0004655,              0.0004655,              0.0004655
                     34,                0.19928,                0.21436,                0.20005,                0.85511,                0.99874,                 0.9982,                  0.995,                0.99316,                0.99874,                 0.9982,                  0.995,                0.99423,                 0.1555,                 0.1232,                0.14595,                  0.643,               0.000416,               0.000416,               0.000416
                     35,                0.18155,                0.18693,                0.17642,                0.85023,                      1,                0.99818,                  0.995,                0.99312,                      1,                0.99818,                  0.995,                0.99415,                0.13842,                0.12885,                0.14735,                0.64513,              0.0003665,              0.0003665,              0.0003665
                     36,                0.17681,                0.18513,                0.16673,                0.84835,                      1,                 0.9995,                  0.995,                0.99445,                      1,                 0.9995,                  0.995,                0.99426,                0.14456,                0.11677,                0.13008,                0.64028,               0.000317,               0.000317,               0.000317
                     37,                0.16925,                0.16847,                0.16102,                0.84148,                0.99998,                      1,                  0.995,                0.99438,                0.99998,                      1,                  0.995,                0.99475,                0.12822,                0.11707,                0.11059,                0.63046,              0.0002675,              0.0002675,              0.0002675
                     38,                0.16237,                 0.1772,                0.15042,                0.84613,                 0.9999,                      1,                  0.995,                0.99428,                 0.9999,                      1,                  0.995,                0.99454,                0.12234,                0.11719,                 0.1106,                0.62903,               0.000218,               0.000218,               0.000218
                     39,                0.15811,                0.17145,                0.14346,                 0.8451,                0.99975,                      1,                  0.995,                0.99441,                0.99975,                      1,                  0.995,                 0.9946,                0.11713,                0.11466,                0.11043,                0.62428,              0.0001685,              0.0001685,              0.0001685
                     40,                0.14832,                0.17535,                0.13477,                0.84237,                0.99998,                      1,                  0.995,                0.99494,                0.99998,                      1,                  0.995,                0.99454,                0.10688,                0.11255,                0.10033,                0.61683,               0.000119,               0.000119,               0.000119
